            Australian Bureau of Statistics,,,,,,,,,,
"Census of Population and Housing: Cultural diversity data summary, 2021",,,,,,,,,,
Released at 10:00am (Canberra time) 28 June 2022,,,,,,,,,Contents,
,,,,,,,,,Find out more:,
TABLE 3. COUNTRY OF BIRTH OF PERSON BY YEAR OF ARRIVAL IN AUSTRALIA BY STATE AND TERRITORY,,,,,,,,,Country of birth of person,
Count of persons(a),,,,,,,,,Year of arrival in Australia,
,,,,,,,,,State and Territories,
,,,,,,,,,,
,,,,,,,,Australian,,
,New,,,South ,Western ,,Northern ,Capital ,,
,South Wales,Victoria,Queensland,Australia,Australia,Tasmania,Territory,Territory,Total(b),
,ARRIVED 2016-2021(c),,,,,,,,,
,,,,,,,,,,
Total(d),"1,868,601","1,529,258","943,600","339,263","725,011","63,410","35,788","100,833","5,606,717",
,,,,,,,,,,
,TOTAL(e),,,,,,,,,
,,,,,,,,,,
New Zealand,"118,527","99,344","208,572","13,461","75,591","5,483","4,041","5,122","530,492",
Melanesia,"7,445","3,432","20,357","1,455","2,498",425,773,784,"37,191",
Micronesia,277,389,638,76,62,39,33,27,"1,530",
Polynesia (excludes Hawaii),"57,596","24,577","28,793","1,781","3,125",565,747,"1,707","118,952",
Antarctica,12,7,4,0,8,0,0,0,31,
"United Kingdom, Channel Islands and Isle of Man","275,351","212,739","227,177","112,206","236,098","22,706","5,998","16,011","1,108,404",
Ireland,"27,001","17,456","12,611","3,295","18,147",745,755,901,"80,927",
Western Europe,"69,237","59,940","49,084","19,566","28,816","5,416","1,828","4,866","238,780",
Northern Europe,"10,167","6,013","8,537","1,715","3,530",591,252,917,"31,724",
Southern Europe,"76,580","88,611","20,585","19,386","23,385","1,191",830,"2,959","233,532",
South Eastern Europe,"99,510","125,901","22,799","20,357","20,738","1,268","1,583","4,761","296,917",
Eastern Europe,"43,925","37,315","19,428","10,219","12,502","1,461",467,"2,432","127,746",
North Africa,"29,538","25,050","7,911","3,726","6,711",603,475,"1,326","75,375",
Middle East,"202,435","112,739","25,009","13,677","19,390","1,356",551,"4,213","379,403",
Mainland South-East Asia,"156,679","147,924","46,679","27,289","39,175","2,731","2,911","7,517","430,947",
Maritime South-East Asia,"201,712","175,736","85,449","30,111","101,352","5,194","9,970","10,484","620,475",
Chinese Asia (includes Mongolia),"315,494","208,672","85,952","31,851","39,416","8,422","2,566","14,955","707,356",
Japan and the Koreas,"67,991","24,701","32,900","5,477","11,143","1,233",589,"3,404","147,441",
Southern Asia,"370,038","389,467","106,070","67,318","89,760","16,591","10,750","32,919","1,082,956",
Central Asia,"17,247","27,579","5,688","8,964","6,414",327,53,881,"67,154",
Northern America,"50,230","34,507","33,306","7,878","16,743","3,098","1,553","4,772","152,119",
South America,"71,733","35,029","31,188","6,390","12,710","1,407",671,"2,929","162,076",
Central America,"5,530","5,858","4,157","1,357","1,912",279,62,506,"19,656",
Caribbean,"1,629","1,063","1,558",253,"1,020",83,47,97,"5,756",
Central and West Africa,"11,229","8,049","7,299","3,591","5,334",593,655,"1,227","37,998",
Southern and East Africa,"75,180","75,199","76,207","16,241","80,413","3,693","2,485","4,678","334,151",
Inadequately described,"4,549","4,468","2,355",848,"1,616",160,93,264,"14,355",
At sea,37,25,9,6,7,0,0,6,92,
Not stated,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,
Total(d),"2,366,948","1,951,837","1,170,334","428,503","857,643","85,669","50,738","130,653","7,043,711",
,,,,,,,,,,
This table is based on place of usual residence.,,,,,,,,,,
(a) Excludes overseas visitors.,,,,,,,,,,
"(b) Total includes Other Territories. Other Territories include Norfolk Island, Jervis Bay Territory, the Territory of Christmas Island and the Territory of Cocos (Keeling) Island, but does not include any other external territory. ",,,,,,,,,,
(c) 1 January 2016 to 10 August 2021.,,,,,,,,,,
(d) Includes Country of birth not further defined and not elsewhere classified.,,,,,,,,,,
(e) Includes Year of arrival not stated.,,,,,,,,,,
,,,,,,,,,,
Please note that there are small random adjustments made to all cell values to protect the confidentiality of data. These adjustments may cause the sum of rows or columns to differ by small amounts from table totals.,,,,,,,,,,
,,,,,,,,,,
© Commonwealth of Australia 2022,,,,,,,,,,
