Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total employment in block
2016,1,Melbourne (CBD),0,122,0,,137,0,0,,,77,,0,0,3,0,0,,14,,0,791
2016,2,Melbourne (CBD),0,,,207,,,,,,,,,,,,,,,,,207
2016,4,Melbourne (CBD),0,0,0,39,0,0,,0,0,205,,0,0,16,,0,0,46,226,0,558
2016,5,Melbourne (CBD),0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,10,0,0,15
2016,6,Melbourne (CBD),0,40,0,341,0,0,0,0,0,302,0,,0,,,,,48,30,0,"1,045"
2016,11,Melbourne (CBD),152,68,0,0,107,,,,32,90,64,,0,56,0,,0,,,,718
2016,12,Melbourne (CBD),102,"1,289",0,55,"1,492",,137,,304,189,73,,0,23,,,0,15,,0,"4,608"
2016,13,Melbourne (CBD),0,191,98,,562,,42,606,298,41,0,,0,20,0,,0,34,32,0,"2,000"
2016,14,Melbourne (CBD),155,157,,,539,73,517,0,100,384,79,29,,177,,51,0,79,,27,"2,426"
2016,15,Melbourne (CBD),60,131,,154,219,,485,0,71,766,41,65,47,188,,,0,411,0,23,"2,679"
2016,16,Melbourne (CBD),,,0,158,360,0,228,,74,144,49,,0,20,0,16,0,68,0,,"1,238"
2016,17,Melbourne (CBD),,51,0,,451,0,79,0,653,510,0,,,3,,76,0,35,0,0,"2,205"
2016,18,Melbourne (CBD),98,12,0,,"2,021",,,0,771,226,,,,20,,248,0,,,0,"4,572"
2016,21,Melbourne (CBD),,0,0,0,266,0,0,,,26,0,,,215,"1,265",,0,,,0,"2,057"
2016,22,Melbourne (CBD),,436,,108,"2,471",122,,70,380,331,,,,95,224,41,0,40,93,0,"4,623"
2016,23,Melbourne (CBD),,252,,24,"1,001",,48,0,98,85,37,234,,81,,61,0,28,0,,"2,078"
2016,24,Melbourne (CBD),0,310,40,,"2,123",77,69,,"2,139",270,160,"1,255",23,87,,351,0,150,50,,"7,732"
2016,25,Melbourne (CBD),32,366,0,,787,0,408,0,147,264,136,,40,281,,118,0,421,,143,"3,991"
2016,26,Melbourne (CBD),,,,,"2,246",,0,,"1,048",218,59,0,0,30,0,,0,138,0,,"4,587"
2016,27,Melbourne (CBD),,64,0,,"2,103",66,,,"2,285",290,62,,,100,,,,214,0,,"5,891"
2016,28,Melbourne (CBD),,194,,0,586,79,,0,853,287,129,,,66,390,243,0,113,,,"5,733"
2016,568,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,31,Melbourne (CBD),,,0,,240,,136,0,208,169,163,,,64,,0,0,48,,0,"1,381"
2016,32,Melbourne (CBD),,455,81,0,"2,563",,30,284,"2,623",154,128,34,12,147,383,180,0,20,258,,"7,424"
2016,33,Melbourne (CBD),26,484,21,0,962,39,357,0,462,251,88,,0,220,,24,0,52,27,,"3,050"
2016,34,Melbourne (CBD),,710,25,,"1,598",,60,58,"2,995",162,78,18,29,325,,146,0,175,38,25,"6,514"
2016,35,Melbourne (CBD),,78,0,21,161,,150,,50,256,436,,192,168,0,6,0,727,,73,"2,513"
2016,36,Melbourne (CBD),121,43,0,,302,0,0,,"1,059",183,29,,3,206,,,0,83,0,0,"2,168"
2016,37,Melbourne (CBD),88,92,,0,779,,0,,"1,418",81,28,,80,41,"1,566",204,0,60,,,"6,008"
2016,38,Melbourne (CBD),,57,0,,649,6,113,53,470,323,388,33,126,145,53,27,0,46,49,,"2,680"
2016,41,Melbourne (CBD),,24,,0,354,,,0,,87,85,0,0,80,,,0,,,0,"1,864"
2016,42,Melbourne (CBD),0,111,15,0,"1,568",,329,511,896,163,75,261,129,133,571,150,0,19,,38,"5,007"
2016,43,Melbourne (CBD),,380,,0,"2,532",50,590,0,686,132,,124,38,146,,,0,52,107,0,"5,578"
2016,44,Melbourne (CBD),0,189,,,828,,54,803,"1,324",191,57,,16,135,416,38,,160,,25,"4,289"
2016,45,Melbourne (CBD),,,0,,54,0,73,0,41,202,0,,27,71,0,,0,"1,198",0,0,"1,830"
2016,46,Melbourne (CBD),,43,0,7,183,0,,,,394,167,54,0,126,"1,097",,0,219,0,0,"2,666"
2016,47,Melbourne (CBD),45,,0,,,,,0,27,276,24,,,322,"3,745",,0,84,,0,"7,191"
2016,48,Melbourne (CBD),,22,0,29,376,0,,,50,347,87,,26,117,0,19,,66,,,"1,489"
2016,51,Melbourne (CBD),,0,0,13,539,,164,,,153,,,,72,,24,0,16,,0,"2,317"
2016,52,Melbourne (CBD),0,113,0,,"4,980",,,0,"2,364",217,9,317,0,80,216,228,0,35,,,"8,741"
2016,53,Melbourne (CBD),104,56,0,0,"1,045",41,60,,"3,877",246,53,27,11,217,35,46,0,12,19,,"5,864"
2016,54,Melbourne (CBD),0,131,0,20,633,,90,0,161,326,84,,17,218,0,48,0,220,,17,"1,987"
2016,55,Melbourne (CBD),,,0,,134,0,0,0,,161,,0,0,,0,,,"1,513",0,0,"2,110"
2016,56,Melbourne (CBD),0,84,,,281,,63,,45,654,18,108,23,163,,,,441,,,"1,895"
2016,57,Melbourne (CBD),,37,0,91,247,,37,0,14,550,49,32,,133,0,55,0,75,0,,"1,349"
2016,58,Melbourne (CBD),197,0,0,,122,0,0,0,26,545,0,0,4,26,,0,0,74,,,"1,155"
2016,61,Melbourne (CBD),,0,0,0,0,0,,,0,225,0,0,0,0,0,27,0,,0,0,349
2016,62,Melbourne (CBD),,0,0,,"1,445",0,44,,,100,0,0,0,34,,,0,,0,0,"1,869"
2016,63,Melbourne (CBD),0,,0,0,218,0,39,0,,57,0,,0,23,191,17,0,25,0,,680
2016,64,Melbourne (CBD),,127,0,33,944,,209,,23,339,31,0,,40,0,,,210,0,,"2,014"
2016,65,Melbourne (CBD),,7,0,,12,0,28,0,,767,27,0,0,99,0,42,0,"1,739",,,"2,839"
2016,66,Melbourne (CBD),,73,0,0,20,,47,,,607,,,0,79,0,,0,133,,0,"1,066"
2016,67,Melbourne (CBD),90,20,0,166,53,0,101,0,,462,34,,0,30,0,,0,27,0,0,"1,002"
2016,68,Melbourne (CBD),68,0,0,,53,0,,0,316,227,0,,0,45,961,,0,,0,0,"2,077"
2016,71,Melbourne (CBD),,,0,0,51,0,0,0,0,,0,0,0,,0,0,0,,0,0,132
2016,72,Melbourne (CBD),0,77,0,0,629,,,0,,209,,,,21,,15,0,18,0,0,"1,412"
2016,73,Melbourne (CBD),0,0,0,0,419,0,0,0,0,15,0,0,0,,841,,0,0,0,0,"1,308"
2016,74,Melbourne (CBD),0,383,0,,517,,105,0,71,366,,,17,103,0,57,0,90,,0,"1,790"
2016,76,Melbourne (CBD),0,,0,74,,,,0,29,471,190,"2,761",,77,0,0,0,704,,0,"6,860"
2016,77,Melbourne (CBD),,,0,,103,0,,0,275,121,,"1,139",0,33,0,,0,11,,0,"2,118"
2016,78,Melbourne (CBD),0,,0,,,0,0,0,"2,778",148,,,,9,"4,008",12,0,28,0,0,"12,168"
2016,81,Melbourne (CBD),,0,0,0,,0,291,0,0,97,0,0,0,0,0,0,0,22,0,0,451
2016,82,Melbourne (CBD),0,,0,,"2,100",,49,,209,59,,418,0,20,"1,184",,0,,120,0,"4,331"
2016,83,Melbourne (CBD),0,0,0,,0,,,0,0,37,0,0,0,9,,0,0,0,0,0,702
2016,84,Melbourne (CBD),0,,0,0,189,34,117,,,182,0,,0,117,0,,0,68,0,,766
2016,85,Melbourne (CBD),,147,0,,251,,0,,"2,261","1,521",125,666,,196,"1,232",,0,"1,588",,0,"8,226"
2016,86,Melbourne (CBD),0,0,0,,0,0,0,0,0,,0,,0,50,0,0,0,,0,0,478
2016,87,Melbourne (CBD),,,0,0,419,,136,,,159,0,0,0,22,0,23,0,,0,,"4,532"
2016,88,Melbourne (CBD),0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,,0,0,56
2016,91,West Melbourne (Residential),0,155,0,0,91,,23,,25,25,30,,,22,,19,0,,0,17,468
2016,92,West Melbourne (Residential),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,93,Melbourne (CBD),,,0,,485,,68,0,545,49,0,0,0,173,774,,0,,0,,"2,442"
2016,94,Melbourne (CBD),,0,0,0,574,,,0,,59,0,,0,57,,23,0,84,0,0,"3,421"
2016,95,Melbourne (CBD),,74,0,,54,,449,0,11,280,55,,,38,0,,,76,0,0,"1,129"
2016,96,Melbourne (CBD),0,,0,88,0,0,"2,673",0,,11,34,,0,,,0,0,0,0,0,"2,953"
2016,97,Melbourne (CBD),43,,0,16,55,,,0,,40,0,350,0,25,0,,0,,0,0,687
2016,98,Melbourne (CBD),0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2016,101,West Melbourne (Residential),0,0,0,0,0,0,,,0,,,0,,78,0,0,0,0,0,0,133
2016,103,Melbourne (CBD),246,0,0,0,37,,,,,16,,0,0,353,0,,0,0,0,0,721
2016,104,Melbourne (CBD),38,,0,0,31,0,48,,,91,,0,,23,0,0,,19,0,0,281
2016,105,Melbourne (CBD),0,,0,,177,,"1,041",0,0,68,,0,0,0,,0,,17,,0,"1,424"
2016,107,Melbourne (CBD),,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,80
2016,111,West Melbourne (Residential),,,0,,,,,0,,0,0,0,0,,,,0,,,,290
2016,113,Melbourne (CBD),0,,0,,0,0,0,,0,146,,0,15,6,0,,0,784,7,,"1,077"
2016,114,Melbourne (CBD),,0,0,,67,,,0,0,202,0,0,0,,0,,0,90,0,,483
2016,115,Melbourne (CBD),71,,0,,,,203,0,,37,0,,0,,0,27,33,75,,0,"1,926"
2016,116,Melbourne (CBD),0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2016,125,Melbourne (CBD),0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,,0,0,67
2016,131,Docklands,,,,,171,,,,,92,,,0,9,"3,926",,0,,,0,"5,158"
2016,201,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,202,Carlton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,203,Carlton,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,32
2016,204,Carlton,,0,0,0,0,0,79,0,0,,,0,0,,0,0,0,0,0,0,116
2016,205,Carlton,,0,0,0,0,0,91,0,0,24,820,,0,0,0,0,0,,0,0,962
2016,206,Carlton,6,0,0,,18,0,0,0,32,118,,,0,21,0,,0,76,0,0,280
2016,207,Carlton,,0,0,0,0,0,0,,0,92,,0,0,,0,0,0,71,0,0,174
2016,208,Carlton,0,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,23
2016,209,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2016,210,Carlton,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,211,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
2016,212,Carlton,,0,0,,0,0,0,0,0,,254,0,0,0,,0,0,,0,0,276
2016,213,Carlton,0,0,0,,0,0,,,0,0,,0,0,,,0,0,0,0,0,101
2016,214,Carlton,,,0,0,38,0,0,0,0,,,0,5,,0,0,0,16,0,,99
2016,215,Carlton,,0,0,,0,0,0,0,0,34,,0,0,,,,0,12,,0,89
2016,216,Carlton,0,0,0,0,,0,0,0,,36,0,0,,52,0,0,,28,0,,145
2016,217,Carlton,0,,0,,,,0,0,0,256,43,,,33,0,0,0,216,0,0,732
2016,218,Carlton,,25,0,18,109,18,,0,,197,29,,,45,0,,0,68,0,,584
2016,219,Carlton,4,0,0,0,,0,,0,0,,,0,0,0,0,0,0,0,0,0,43
2016,220,Carlton,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,20
2016,221,Carlton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,222,Carlton,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,26
2016,223,Carlton,,0,0,0,,0,0,0,0,,18,0,0,7,0,,0,,0,0,62
2016,224,Carlton,,0,0,0,31,0,0,0,,,,0,87,,0,,0,6,0,0,164
2016,225,Carlton,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,,0,0,18
2016,226,Carlton,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,38
2016,227,Carlton,0,0,0,,0,0,,0,0,,0,0,0,0,0,,0,0,0,0,10
2016,228,Carlton,0,0,0,,,0,0,0,0,,,0,0,0,,0,0,0,0,0,141
2016,229,Carlton,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2016,230,Carlton,0,,0,,0,0,0,0,0,,,0,0,4,0,0,0,,0,,33
2016,231,Carlton,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2016,232,Carlton,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,37
2016,233,Carlton,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,234,Carlton,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,15
2016,235,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
2016,236,Carlton,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,10
2016,237,Carlton,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2016,238,Carlton,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2016,239,Carlton,0,0,0,0,237,0,,0,,12,74,,0,,0,0,0,,0,0,627
2016,240,Carlton,0,0,0,0,,0,633,0,0,28,0,0,0,0,0,0,0,,0,0,683
